Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Gonzaga,WCC,25-3,32.66,121.5,88.8,73.1,-0.041,3.28,104.9,101.6,-2.29
2,Arizona,P12,28-3,27.45,119,91.5,72.8,0.031,5.73,106.3,100.5,0.33
3,Kentucky,SEC,25-6,27.32,121.4,94.1,67.6,-0.031,8.51,107.4,98.8,-2.44
4,Baylor,B12,26-5,27.07,118.7,91.6,67.6,0.034,10.76,108,97.2,-1.25
5,Houston,Amer,26-5,25.44,116.9,91.5,64.5,-0.009,4.02,105.1,101,0.49
6,Duke,ACC,26-5,25.29,119.8,94.5,67.7,-0.03,5.6,107.3,101.7,-4.06
7,Auburn,SEC,27-4,25.19,114.6,89.4,70.5,-0.03,8.79,107.9,99.1,4.19
8,UCLA,P12,23-6,24.79,116,91.2,66.1,-0.028,7.51,107.4,99.9,4.67
9,Kansas,B12,25-6,24.46,119.4,95,69.4,0.036,12.07,108.3,96.3,4.66
10,Villanova,BE,23-7,24.35,119.5,95.1,63.3,0.025,10.32,109,98.7,8.79
11,Texas Tech,B12,23-8,24.2,110.9,86.7,66.7,-0.026,9.39,107.6,98.2,-7.64
12,Tennessee,SEC,23-7,23.98,111.3,87.4,68,0.036,11.31,109,97.7,4.87
13,Purdue,B10,25-6,22.81,122.5,99.7,66.3,0.034,8.52,109,100.5,-3.38
14,Iowa,B10,22-9,22.14,120.3,98.1,70,-0.072,6.91,108,101.1,-6.26
15,Texas,B12,21-10,20.9,112.4,91.5,63.5,-0.031,9.45,107.7,98.2,-7.46
16,Saint Mary's,WCC,25-6,19.92,109.8,89.9,64,0.039,6.17,107.3,101.1,3.94
17,LSU,SEC,21-10,19.91,108.2,88.3,68.8,-0.043,9.11,108.4,99.2,-0.75
18,Illinois,B10,22-8,19.91,114.7,94.8,67.6,0.043,10.32,109.6,99.3,1.79
19,Arkansas,SEC,24-7,19.46,111.5,92,70.9,0.019,7.37,107.3,99.9,-2.47
20,Connecticut,BE,22-8,18.83,114.3,95.5,65.6,-0.02,6.88,106.2,99.3,-3.08
21,San Francisco,WCC,24-9,18.26,111.3,93.1,69.1,-0.029,5.72,106.3,100.5,2.91
22,Alabama,SEC,19-12,17.84,117.1,99.2,71.8,-0.011,13.01,110.5,97.5,10.35
23,San Diego St.,MWC,21-7,17.68,104.5,86.9,66,0.02,5.83,106.5,100.6,3.16
24,Loyola Chicago,MVC,25-7,17.61,111.3,93.7,65,0.016,3.38,105.1,101.8,3.75
25,Murray St.,OVC,30-2,16.43,112,95.6,66.2,0.075,-3.44,101.8,105.3,4.69
26,Boise St.,MWC,24-7,16.31,109,92.7,64.9,0.003,5.59,105.9,100.3,1.33
27,Ohio St.,B10,19-10,16.28,117.2,100.9,65.3,0.001,9.72,109.1,99.4,2.76
28,Memphis,Amer,19-9,16.27,111.2,94.9,70.9,-0.039,6.34,106.6,100.3,5.35
29,Virginia Tech,ACC,19-12,16.17,113.2,97,63.1,-0.087,5.51,106.9,101.4,-0.38
30,Wisconsin,B10,24-6,16.01,111.3,95.3,66.9,0.132,10.13,109.4,99.3,3.18
31,Michigan,B10,17-13,15.99,114.9,98.9,66.5,-0.013,11.89,110.7,98.8,7.11
32,North Carolina,ACC,23-8,15.94,114.7,98.8,70.5,0.088,6.99,108.1,101.1,4.01
33,Colorado St.,MWC,24-4,15.84,115,99.2,66,0.142,4.77,105.7,101,-1.85
34,Wake Forest,ACC,23-8,15.84,112.8,97,70.3,0.002,3.25,106.8,103.5,-8.84
35,Seton Hall,BE,20-9,15.76,110.3,94.5,68.2,0.006,8.97,108.2,99.3,1.73
36,Providence,BE,24-4,15.63,113.2,97.6,65.3,0.172,7.04,107,99.9,-0.03
37,Oklahoma,B12,17-14,15.12,110.8,95.6,65.2,-0.041,11.26,107.9,96.7,-1.3
38,Oklahoma St.,B12,15-15,14.93,103.9,89,68,-0.074,11.63,109,97.4,0.62
39,Iowa St.,B12,20-11,14.89,105.6,90.7,66.4,0.024,9.66,108.2,98.5,-6.61
40,USC,P12,25-6,14.83,111.8,97,66.5,0.076,4.83,105,100.2,-3.89
41,Marquette,BE,19-11,14.7,110.5,95.8,71.1,0.004,9.33,108.2,98.9,4.63
42,TCU,B12,19-11,14.62,108.5,93.9,66.3,0.029,10.08,107.8,97.7,-4.42
43,Michigan St.,B10,20-11,14.53,111.5,97,68,0.047,10.48,109.6,99.1,4.42
44,Indiana,B10,18-12,14.14,107.4,93.2,67.4,-0.055,7.15,108.2,101,-6.04
45,Davidson,A10,25-5,14.01,117.5,103.5,64.8,0.018,1.07,103.1,102,-1.57
46,Dayton,A10,22-9,13.97,109.7,95.7,63.4,-0.022,1.31,103.6,102.3,-1.65
47,Notre Dame,ACC,22-9,13.86,111.9,98,65.9,0.027,5.92,106.9,101,3.09
48,North Texas,CUSA,23-5,13.84,107,93.2,59.8,0.025,0.48,104.8,104.3,4.81
49,Mississippi St.,SEC,17-14,13.62,110.5,96.9,65.9,-0.077,7.69,107.3,99.6,-1.15
50,BYU,WCC,22-10,13.59,110.6,97,68.2,0.024,6,106,100,5.97
51,Xavier,BE,18-12,13.55,111.3,97.8,68.3,-0.024,8.71,107.6,98.9,1.39
52,UAB,CUSA,24-7,13.48,112.1,98.6,69.1,-0.059,-1.86,102.4,104.2,-1.84
